language,tag,count
sql,sql-server,12299
sql,tsql,5576
sql,database,4621
sql,sql-server-2005,4311
sql,oracle,4175
sql,php,3792
sql,c#,3627
sql,sql-server-2008,3617
sql,postgresql,1731
sql,asp.net,1692
sql,join,1569
sql,stored-procedures,1562
sql,ms-access,1380
sql,.net,1289
sql,database-design,1278
sql,sqlite,1147
sql,performance,1047
sql,select,964
sql,linq,855
sql,plsql,853
sql,sql-update,645
sql,ruby-on-rails,644
sql,vb.net,621
sql,linq-to-sql,574
sql,group-by,560
sql,sql-server-2000,559
sql,triggers,544
sql,oracle10g,525
sql,indexing,524
sql,xml,521
c,linux,3056
c,pointers,1879
c,gcc,1430
c,windows,1365
c,arrays,1354
c,string,1077
c,winapi,1017
c,sockets,918
c,unix,904
c,objective-c,888
c,struct,844
c,algorithm,752
c,multithreading,709
c,memory-management,616
c,malloc,613
c,pthreads,574
c,assembly,568
c,memory,556
c,compiler-construction,545
c,file,513
c,printf,478
c,c#,475
c,function,473
c,embedded,440
c,c-preprocessor,427
c,posix,402
c,data-structures,399
c,osx,398
c,optimization,397
c,performance,381
html,css,21735
html,jquery,11571
html,php,7507
html,asp.net,2235
html,forms,2188
html,ajax,1600
html,internet-explorer,1575
html,c#,1562
html,table,1506
html,xhtml,1373
html,dom,1317
html,image,1180
html,html5,1172
html,xml,916
html,iframe,885
html,regex,830
html,firefox,821
html,browser,729
html,layout,705
html,flash,700
html,css3,661
html,iphone,600
html,parsing,599
html,css-float,560
html,hyperlink,533
html,jsp,529
html,cross-browser,527
html,google-chrome,506
html,internet-explorer-7,498
html,email,488
mysql,php,23084
mysql,database,5387
mysql,join,1636
mysql,database-design,1583
mysql,performance,1253
mysql,ruby-on-rails,1174
mysql,select,1156
mysql,c#,1093
mysql,jquery,834
mysql,phpmyadmin,787
mysql,stored-procedures,730
mysql,optimization,712
mysql,indexing,707
mysql,table,685
mysql,innodb,665
mysql,insert,658
mysql,sql-server,640
mysql,ajax,638
mysql,pdo,609
mysql,codeigniter,606
mysql,jdbc,606
mysql,datetime,603
mysql,hibernate,600
mysql,date,597
mysql,arrays,592
mysql,group-by,587
mysql,query-optimization,546
mysql,search,532
mysql,django,519
mysql,ruby,504
python,django,9376
python,google-app-engine,2962
python,list,1833
python,regex,1773
python,numpy,1482
python,string,1466
python,windows,1241
python,dictionary,1155
python,django-models,1130
python,linux,1073
python,multithreading,1008
python,python-3.x,1003
python,wxpython,936
python,sqlalchemy,894
python,matplotlib,879
python,tkinter,846
python,osx,842
python,xml,825
python,php,792
python,parsing,731
python,unicode,724
python,file,693
python,pyqt,679
python,performance,639
python,database,634
python,pygtk,618
python,subprocess,615
python,import,604
python,class,598
python,algorithm,585
javascript,jquery,42996
javascript,php,8923
javascript,css,8365
javascript,ajax,8362
javascript,asp.net,6086
javascript,dom,3386
javascript,json,3233
javascript,regex,3048
javascript,javascript-events,2800
javascript,internet-explorer,2688
javascript,c#,2610
javascript,html5,2570
javascript,forms,2079
javascript,firefox,2031
javascript,jquery-ui,1937
javascript,arrays,1794
javascript,google-maps,1730
javascript,iframe,1660
javascript,google-chrome,1569
javascript,events,1440
javascript,ruby-on-rails,1406
javascript,facebook,1301
javascript,flash,1269
javascript,extjs,1263
javascript,node.js,1247
javascript,browser,1246
javascript,jquery-plugins,1222
javascript,function,1183
javascript,image,1172
javascript,validation,1150
java,android,12043
java,swing,8319
java,eclipse,5811
java,spring,5613
java,hibernate,5592
java,multithreading,3518
java,jsp,3468
java,xml,3412
java,servlets,3214
java,java-ee,3003
java,jpa,2586
java,tomcat,2465
java,string,2358
java,jdbc,2357
java,web-services,2193
java,regex,2186
java,jsf,2174
java,generics,2062
java,c#,2022
java,arrays,2001
java,spring-mvc,1799
java,user-interface,1789
java,netbeans,1693
java,gwt,1670
java,google-app-engine,1612
java,performance,1592
java,database,1565
java,jar,1527
java,sockets,1499
java,applet,1456
swift,objective-c,50
swift,ios,38
swift,iphone,22
swift,cocoa-touch,11
swift,uiscrollview,4
swift,nsdate,4
swift,cocoa,3
swift,osx,3
swift,nsuserdefaults,3
swift,xcode,3
swift,uitextfield,3
swift,uitableview,3
swift,nsstring,2
swift,audio,2
swift,core-data,2
swift,ipad,2
swift,uiimageview,2
swift,uibutton,2
swift,cgpoint,1
swift,localnotification,1
swift,formatting,1
swift,uikeyboard,1
swift,twilio,1
swift,time,1
swift,uigesturerecognizer,1
swift,uilocalnotification,1
swift,avaudiosession,1
swift,programmatically-created,1
swift,url-scheme,1
swift,tablecell,1
matlab,image-processing,339
matlab,matrix,296
matlab,plot,275
matlab,image,160
matlab,user-interface,155
matlab,arrays,150
matlab,file-io,138
matlab,function,105
matlab,math,100
matlab,mex,96
matlab,simulink,92
matlab,octave,84
matlab,signal-processing,83
matlab,matlab-deployment,78
matlab,computer-vision,77
matlab,vectorization,72
matlab,performance,70
matlab,c#,69
matlab,neural-network,68
matlab,string,63
matlab,algorithm,62
matlab,vector,57
matlab,machine-learning,54
matlab,fft,53
matlab,file,51
matlab,oop,50
matlab,graph,50
matlab,indexing,47
matlab,variables,47
matlab,loops,44
c++,windows,4079
c++,templates,3667
c++,boost,3507
c++,qt,3382
c++,winapi,3307
c++,stl,3123
c++,visual-c++,2948
c++,c#,2424
c++,linux,2233
c++,pointers,2153
c++,visual-studio,1795
c++,string,1783
c++,multithreading,1773
c++,c++11,1557
c++,vector,1543
c++,arrays,1539
c++,mfc,1468
c++,gcc,1462
c++,class,1353
c++,opengl,1279
c++,visual-studio-2008,1262
c++,algorithm,1192
c++,dll,1162
c++,inheritance,1102
c++,visual-studio-2010,1101
c++,memory-management,1087
c++,function,905
c++,g++,902
c++,debugging,893
c++,linker,893
